20000101
8.4,-4.8
12.4,0.1
17.0,1.8
9.1,-1.9
-1.7,-7.5
-0.6,-7.4
7.1,-3.1
2.5,-3.1
6.0,-1.8
8.1,3.7
12.0,0.0
5.1,-4.6
8.1,-3.1
-0.7,-10.8
1.2,-9.0
10.7,-1.0
3.2,-3.9
-0.9,-4.2
1.0,-7.0
0.1,-12.1
-11.4,-18.2
-4.8,-17.9
-0.8,-6.5
-5.7,-17.6
-4.1,-17.5
-4.8,-14.2
-8.5,-16.9
-6.2,-18.1
-5.6,-13.4
-3.9,-9.0
-2.9,-10.4
-2.0,-11.3
-2.7,-10.9
1.2,-11.5
4.2,-4.8
-0.7,-8.1
0.7,-8.2
7.8,-5.3
3.0,-8.3
5.2,-7.9
14.0,2.0
13.9,-1.9
0.2,-4.2
5.1,-5.0
2.5,-1.1
1.1,-1.0
9.1,-0.9
3.8,-6.2
3.2,-4.6
2.2,-1.2
1.3,-2.0
7.2,-1.9
12.1,0.9
19.7,7.3
17.2,9.1
21.2,8.7
22.0,13.7
16.1,5.7
13.0,-1.8
16.2,-1.3
18.9,6.4
11.0,-1.1
8.9,-1.9
6.2,-2.4
14.3,-2.2
19.3,1.2
21.1,3.2
26.2,10.8
25.1,9.0
10.1,0.6
4.2,-1.8
1.5,-10.6
6.6,-8.6
12.3,-2.9
12.3,2.0
21.6,1.9
5.3,-3.9
7.1,-2.9
7.2,-1.6
11.2,5.7
9.8,5.7
11.1,0.5
16.2,1.9
19.2,8.2
23.8,8.7
19.3,2.7
21.2,3.0
14.1,1.6
7.5,-2.8
13.2,-0.7
15.1,-0.7
18.2,2.9
18.3,7.9
17.2,8.7
14.2,1.8
9.4,-1.0
21.1,2.9
14.7,7.8
13.8,-2.1
7.3,-2.0
18.2,0.0
14.0,5.4
9.6,-1.9
12.3,-0.7
19.3,3.0
21.4,8.4
23.3,10.6
22.2,6.8
8.5,6.8
12.7,6.2
23.2,12.4
21.1,4.8
14.2,1.9
19.4,7.2
17.0,8.9
19.0,3.1
19.2,3.6
21.1,6.4
20.6,4.6
23.0,8.7
20.5,3.8
24.2,9.0
18.8,7.2
23.3,8.4
27.1,14.1
26.4,15.9
27.3,16.7
26.4,18.7
24.8,18.9
27.3,17.1
23.3,9.0
21.6,12.7
29.2,16.1
29.4,12.7
16.3,5.7
21.2,7.1
22.4,11.8
26.0,14.9
25.2,17.7
25.9,10.0
12.4,9.0
15.6,6.3
21.9,11.2
25.2,15.6
27.3,14.3
29.3,13.7
24.5,9.7
18.6,15.3
25.5,14.1
17.3,12.7
22.3,13.1
28.2,17.7
30.9,18.1
31.0,20.7
25.3,11.1
23.2,10.4
22.3,14.7
16.7,7.0
22.5,8.3
25.4,15.5
30.2,16.2
30.3,20.4
31.0,21.9
26.5,20.1
30.0,20.0
31.9,18.9
29.0,15.1
27.2,18.7
26.0,15.8
21.2,13.3
24.4,11.6
26.3,17.6
27.2,18.9
26.2,18.6
29.2,17.2
30.9,18.9
26.4,19.5
28.3,19.8
26.1,14.3
24.2,14.3
25.3,14.9
26.0,13.2
26.2,13.5
27.4,18.8
31.0,21.7
30.7,20.4
